120_4,150_5,180_6,240_8,300_10,360_12,420_14,450_15,480_16,600_20,60_2,90_3
128,156,190,212,388,378,438,419.0,616,404,60,90
128,170,206,291,399,340,342,541.0,616,614,60,90
124,182,190,253,292,360,433,404.0,588,617,60,90
132,150,190,258,272,384,424,578.0,615,604,60,90
132,180,160,236,304,424,412,612.0,496,613,60,90
128,166,168,253,310,337,430,594.0,520,618,60,90
130,166,202,246,320,392,502,460.0,508,610,60,90
133,170,194,262,298,384,460,432.0,471,616,60,90
126,158,180,226,336,487,430,402.0,456,615,60,90
129,138,195,220,310,336,383,504.0,528,617,60,90
122,153,194,240,296,368,443,483.0,448,610,60,90
124,150,186,216,298,428,407,402.0,432,620,60,90
122,160,175,240,288,360,398,506.0,444,615,60,90
126,151,184,234,350,400,464,521.0,438,608,60,90
130,156,156,256,353,436,592,490.0,434,616,60,90
145,156,166,257,340,352,488,485.0,400,613,60,90
129,160,192,250,373,406,456,540.0,568,619,60,90
130,170,188,252,300,360,447,613.0,434,608,60,90
138,160,176,262,294,496,436,443.0,514,616,60,90
124,156,190,246,354,372,562,615.0,494,613,60,90
130,160,170,240,340,376,602,419.0,524,611,60,90
138,146,180,243,403,380,441,438.0,524,613,60,90
130,160,200,247,306,388,422,613.0,522,500,60,90
128,160,186,242,288,386,452,412.0,544,617,60,90
130,160,180,274,310,400,405,488.0,516,620,60,90
122,138,190,250,351,388,530,448.0,373,612,60,90
120,169,186,276,294,394,439,604.0,540,610,60,90
132,156,180,232,386,394,420,451.0,556,459,60,90
124,168,190,230,384,350,468,483.0,450,615,60,100
128,150,190,257,302,511,448,521.0,572,616,60,90
128,157,188,218,362,371,516,462.0,463,620,60,90
126,160,184,298,310,332,430,455.0,616,450,60,90
136,160,184,244,371,422,452,440.0,520,598,60,90
128,160,180,218,352,544,322,506.0,520,619,60,90
130,148,188,260,398,509,430,494.0,564,544,60,90
126,170,191,232,387,510,470,424.0,395,604,60,100
130,155,171,232,276,308,432,502.0,428,546,60,90
126,156,174,268,362,436,592,503.0,392,620,60,96
151,170,180,250,324,318,400,440.0,530,547,60,90
128,160,180,222,304,392,486,408.0,586,614,60,90
130,152,170,272,392,380,474,460.0,424,620,60,90
127,156,174,284,296,384,406,425.0,482,516,60,90
136,160,178,260,310,424,496,492.0,528,580,60,90
128,156,190,240,326,460,441,582.0,614,619,60,90
124,156,205,244,350,308,426,574.0,486,611,60,90
126,146,190,268,302,440,456,602.0,534,618,60,90
126,150,184,248,288,416,611,402.0,496,620,62,90
140,160,192,220,310,388,476,499.0,531,610,60,90
130,156,180,292,350,394,424,423.0,520,617,60,90
130,152,186,220,324,356,390,,616,532,60,90
