vanilla,cot,fewshot,pw_wo_reasoning,pw_w_reasoning
281,306,274,300,281
373,288,254,299,340
330,223,263,286,278
256,265,263,274,278
278,270,266,305,264
300,236,292,226,228
292,250,274,288,304
292,314,264,316,338
309,245,284,276,276
346,259,250,252,251
324,260,214,354,266
236,228,264,236,298
256,282,278,310,291
222,288,230,302,314
332,248,213,282,246
344,236,267,258,302
290,276,224,260,261
298,266,234,278,238
298,244,240,301,327
272,278,276,232,340
249,226,288,326,243
258,228,301,273,350
362,296,327,298,246
328,307,263,268,266
342,270,257,310,324
234,317,232,312,357
251,223,278,232,266
248,276,272,240,292
231,310,247,331,318
244,264,299,252,280
262,264,268,274,223
294,260,264,302,330
248,233,208,328,358
186,232,236,264,297
258,240,236,305,340
260,355,244,276,336
377,244,239,263,270
301,236,276,278,210
268,216,256,240,305
324,248,244,268,241
264,240,286,298,354
327,282,279,284,194
264,284,215,213,242
274,272,300,250,266
284,256,240,264,264
289,229,248,281,264
308,378,216,240,306
286,204,280,232,250
248,276,267,252,253
238,297,289,290,296
